EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9
0.021,151639.46799524766,186804.01102428485,237653.56524433685,245154.43744100202,281221.46342897194,333179.7436161638,327322.0873238434,363130.5460076238,416207.0876555455
0.022,166763.011165156,203695.69766453642,256795.42232048349,266114.05439262616,303707.49980538693,357695.5792099633,353161.57030135277,390424.3944953615,445365.5138472616
0.023,182413.06546699585,221016.01890359304,276230.76142377895,287484.12964868004,326508.07444837416,382395.70679930696,379324.5186961322,417955.20959858585,474628.12250701874
0.024,198543.62337409935,238713.15985183977,295904.2651598704,309198.8253046717,349556.02355962625,407213.1952498447,405732.9652531164,445644.8843970485,503919.3101418549
0.025,215106.60462253678,256734.6917568327,315761.62462722097,331192.61397203756,372785.59457145847,432083.7411505063,432310.8616510105,473418.0817326231,533167.2598858244
0.026000000000000002,232052.1956527279,275027.8797508402,335749.7467797222,353400.6241020775,396132.7053467738,456945.8016836176,458984.36937944056,501202.4382575843,562304.0083369572
0.027,249329.19758637686,293539.98507346853,355816.94890072144,375758.97084331873,419535.1854379686,481740.7111009723,485682.1280436095,528928.7465638601,591265.4962363298
0.028,266885.3799058082,312218.5596713994,375913.1391484533,398205.07031232043,442932.9981368028,506412.7801672469,512335.49974203703,556531.1145561887,619991.6024326575
0.029,284667.83684323536,331011.7311366936,395989.98231289134,420677.93534600234,466268.4422921116,530909.3782184641,538878.7884708372,583947.1015627676,648426.1609384583
0.03,302623.34338704497,349868.4760371222,416001.05009794014,443118.451012532,489486.3331090256,555180.9977282778,565249.4338017567,611117.8309704888,676516.9611781199
0.031,320698.70776802656,368738.8798122384,435901.9554108832,465469.6283832273,512534.1613719073,579181.3014859408,591388.1783611131,637988.0794335257,704215.7317679795
0.032,338841.1172980074,387574.38155342964,455650.47030293196,487676.8353056718,535362.2307529416,602867.1526721984,617239.2089025221,664506.3429375718,731478.1083638866
0.033,356998.4744938147,406328.0021512394,475206.6273601416,509688.00316435756,557923.773078337,626198.628276836,642750.2710171931,690624.8802099825,758263.5862702751
0.034,375119.7205279008,424954.55447521154,494532.80449228873,531453.8088658593,580175.0416234451,649139.0164370929,667872.75776073,716299.7341503239,784535.4586322006
0.035,393155.14319994405,443410.83444687113,513593.79320789804,552927.8315372776,602075.3826957754,671654.7983918043,692561.7726939014,741490.7321177395,810260.741132653
0.036000000000000004,411056.66681750456,461655.7920717899,532356.8505957925,574066.683676033,623587.2859398755,693715.6158437358,716776.1680358258,766161.4660522026,835410.084195211
0.037,428778.1216041322,479650.6817086513,550791.7353566902,594830.1167329429,644676.4139594815,715294.2246035025,740478.5588106959,790279.2535270547,859957.6737497111
0.038,446275.49051559536,497359.19106859487,568870.7283419028,615181.1013459003,665311.6119994376,736366.4354539987,763635.3140328722,813815.0809310506,883881.1216584278
0.039,463507.13163411216,514747.54865376133,586568.638159603,635085.8826658052,685464.8985620107,756911.0432254268,786216.5261194414,836743.5300602483,907161.3469243862
0.04,480433.97462137934,531784.6095569251,603862.7925020368,654514.0114272466,705111.4379488984,776909.7451088511,808195.9598438868,859042.6894643068,929782.4488136295
0.041,497019.6900382794,548441.9197516021,620733.0159291375,673438.3516117849,724229.4958211498,796347.0492616032,829550.9822492297,880694.0519389183,951731.5730211379
0.042,513230.8306768144,564693.7592014613,637161.5949150814,691835.0657297238,742800.3789542544,815210.1747717641,850262.475024015,901682.3995871044,972998.7719970784
0.043000000000000003,529036.9443924058,580517.1643069268,653133.231024334,709683.578905629,760808.3604348226,833488.9440522216,870314.7309101223,921995.6778878744,993576.8605274851
0.044,544410.6582666124,595891.9303833967,668634.9831326889,726966.5230923459,778240.5915987965,851175.6687283018,889695.3357580538,941624.8602122705,1013461.2676325119
0.045,559327.7342661782,610800.5950277387,683656.1996468717,743669.6628572148,795087.0020493483,868265.030067613,908395.0378738011,960563.804215172,1032649.8858072571
0.046,573767.0968888933,625228.4033760526,698188.4417036729,759781.8042819905,811340.1891160168,884753.9549773058,926407.6063123635,978809.1015074102,1051142.9185858185
0.047,587710.8335953046,639163.2563849475,712225.3983466798,775294.6885946312,826995.2981259016,900641.4885633904,943729.6797675602,996359.921977992,1068942.727359754
0.048,601144.169113367,652595.6433797226,725762.7946858752,790202.8722066217,842049.8948535413,915928.664209806,960360.6076869203,1013217.8540915187,1086053.678328405
0.049,614055.414966866,665518.5602053339,738798.2940432169,804503.594864389,856503.8314994154,930618.3720925205,976302.2852054514,1029386.7424325262,1102481.9904014543
0.05,626435.8958144637,677927.4143894119,751331.3950763474,818196.6376382302,870359.1075186777,944715.2269967912,991558.9834441748,1044872.5237074859,1118235.5848144675
0.051000000000000004,638279.8543918389,689819.9187809235,763363.3248534827,831284.172467985,883619.726582848,958225.4362546898,1006137.1766598875,1059683.0623478119,1133323.937156766
