EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9,SLF Case 10,SLF Case 11,SLF Case 12,SLF Case 13,SLF Case 14,SLF Case 15
1.05,2108.878936,81939.62234,155724.2567,194740.4074,402308.2904,735845.7884,342364.7575,736041.5129,1101624.384,494315.648,967597.3512,1613505.156,666773.4853,1228344.703,2212461.596
1.1,2108.878936,82230.45917,156321.0367,195366.8382,403471.7537,738016.0431,343351.7363,738191.5767,1101624.384,495703.8745,970363.6239,1617961.219,668690.717,1231691.891,2218629.454
1.15,2108.878936,82491.20069,156851.5256,195921.9967,404506.1826,739938.8754,344224.3794,740096.3721,1101624.384,496939.3312,972850.717,1621984.493,670395.8858,1234716.727,2224197.272
1.2,2108.878936,82725.52301,157324.1121,196415.1505,405428.2148,741646.682,344997.8264,741788.0451,1101624.384,498041.6602,975092.7326,1625626.827,671916.3009,1237457.68,2229236.964
1.25,2108.878936,82936.57511,157745.9721,196854.189,406252.0034,743166.9931,345684.926,743293.9069,1101624.384,499027.5686,977118.8063,1628932.575,673275.1943,1239947.662,2233810.05
1.3,2108.878936,83127.06665,158123.2687,197245.8569,406989.6432,744523.3061,346296.6307,744637.2639,1101624.384,499911.3335,978953.9535,1631939.869,674492.4205,1242214.976,2237969.424
1.35,2108.878936,83299.33897,158461.3146,197595.9433,407651.5139,745735.7588,346842.3141,745838.0862,1101624.384,500705.2075,980619.7508,1634681.647,675585.0198,1244284.077,2241760.779
1.4,2108.878936,83455.42301,158764.7054,197909.4346,408246.5581,746821.6745,347330.0289,746913.5501,1101624.384,501419.7485,982134.8871,1637186.489,676567.6746,1246176.188,2245223.758
1.45,2108.878936,83597.08676,159037.4292,198190.641,408782.5085,747796.0084,347766.7173,747878.4815,1101624.384,502064.0873,983515.6143,1639479.29,677453.0821,1247909.803,2248392.896
1.5,2108.878936,83725.87455,159282.957,198443.2997,409266.0744,748671.7136,348158.3832,748745.7197,1101624.384,502646.1482,984776.1172,1641581.818,678252.2608,1249501.1,2251298.39
1.55,2108.878936,83843.13952,159504.3185,198670.661,409703.0958,749460.0437,348510.2356,749526.418,1101624.384,503172.8311,985928.8186,1643513.178,678974.8026,1250964.28,2253966.74
1.6,2108.878936,83950.07082,159704.1649,198875.5591,410098.6713,750170.8044,348826.8064,750230.2932,1101624.384,503650.1616,986984.6338,1645290.189,679629.0831,1252311.853,2256421.275
1.65,2108.878936,84047.71638,159884.8223,199060.4725,410457.2646,750812.5628,349112.0493,750865.8339,1101624.384,504083.4174,987953.1822,1646927.706,680222.4361,1253554.87,2258682.601
1.7,2108.878936,84137.00208,160048.3358,199227.5736,410782.7942,751392.823,349369.422,751440.4748,1101624.384,504477.2335,988842.9656,1648438.887,680761.3009,1254703.126,2260768.968
1.75,2108.878936,84218.74798,160196.508,199378.7712,411078.7084,751918.1744,349601.9563,751960.7435,1101624.384,504835.6908,989661.5179,1649835.42,681251.3452,1255765.324,2262696.585
1.8,2108.878936,84293.68214,160330.9306,199515.7459,411348.0491,752394.416,349812.3162,752432.3842,1101624.384,505162.391,990415.5331,1651127.714,681697.5696,1256749.22,2264479.888
1.85,2108.878936,84362.45231,160453.0121,199639.9809,411593.5057,752826.6627,350002.8476,752860.463,1101624.384,505460.5205,991110.9722,1652325.062,682104.3962,1257661.741,2266131.762
1.9,2108.878936,84425.63607,160564.0012,199752.7874,411817.4608,753219.4352,350175.6209,753249.4571,1101624.384,505732.9038,991753.1566,1653435.779,682475.7439,1258509.089,2267663.74
1.95,2108.878936,84483.74938,160665.0068,199855.327,412022.0301,753576.7368,350332.4665,753603.331,1101624.384,505982.0503,992346.8464,1654467.323,682815.0926,1259296.828,2269086.161
2,2108.878936,84537.25409,160757.0155,199948.6306,412209.0951,753902.1195,350475.0059,753925.6021,1101624.384,506210.1938,992896.3087,1655426.399,683125.5386,1260029.963,2270408.319
2.05,2108.878936,84586.56434,160840.9063,200033.6146,412380.333,754198.7403,350604.6779,754219.3965,1101624.384,506419.326,993405.3759,1656319.042,683409.8418,1260713.003,2271638.582
2.1,2108.878936,84632.05211,160917.4638,200111.0952,412537.2408,754469.4102,350722.7616,754487.4974,1101624.384,506611.2267,993877.497,1657150.701,683670.4668,1261350.021,2272784.5
2.15,2108.878936,84674.0521,160987.3893,200181.8,412681.1572,754716.6359,350830.3959,754732.3867,1101624.384,506787.4885,994315.781,1657926.299,683909.6183,1261944.698,2273852.899
2.2,2108.878936,84712.86591,161051.3103,200246.3792,412813.2815,754942.6564,350928.5963,754956.2811,1101624.384,506949.5389,994723.0353,1658650.295,684129.2711,1262500.37,2274849.956
2.25,2108.878936,84748.76575,161109.7894,200305.4143,412934.6893,755149.4747,351018.2698,755161.1637,1101624.384,507098.6597,995101.7995,1659326.735,684331.1978,1263020.067,2275781.278
