EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9
0.014,29453.095507486785,29445.036920093873,29509.53148582773,29586.45208483563,29485.913150555272,29414.35859204468,29600.969285818483,29403.98342188746,29503.937784501984
0.015,33951.8533403031,33946.20536108007,34015.97033153568,34100.35438003526,33989.93170334028,33911.328237380454,34119.519010504046,33900.32835251005,34010.53337166379
0.016,38772.184078500344,38769.61415982973,38844.38850501626,38936.169217080154,38815.92375053128,38730.31220812215,38960.637198799406,38718.77598191418,38839.25787051122
0.017,43912.662604071935,43913.86733386444,43993.34570719621,44092.41266224435,43962.46146059689,43869.92249200869,44122.85627048822,43857.947193730695,43988.6795546932
0.018000000000000002,49371.535716501916,49377.237483025085,49461.073350188264,49567.27508507477,49427.78804083257,49328.43978206201,49604.380328672436,49316.13085995391,49457.03755266687
0.019,55146.73488561907,55157.67871446563,55245.48730385529,55358.63374907779,55209.83052532271,55103.82640417385,55403.09788027193,55091.29680795855,55242.25463969825
0.02,61235.88762184374,61252.83815810975,61344.19926459358,61464.064053773356,61306.21117714719,61193.73783272673,61516.59318908084,61181.10736878535,61341.94864472044
0.021,67636.32780872057,67660.06642372103,67754.52709037474,67880.84976571804,67714.25785062405,67595.53314581618,67942.15660345141,67582.9278597945,67753.44281778348
0.022,74345.10525689574,74376.42726349291,74473.50436053808,74605.99249208567,74431.01357340915,74306.28468431617,74676.79411557915,74293.83626709081,74473.77541787262
0.023,81358.9946767079,81398.70664098031,81497.88935697921,81636.22058966247,81453.24554613211,81322.78711586996,81717.23634784306,81310.63232970377,81499.70871872765
0.024,88674.50422094995,88723.42136077542,88824.17361786989,88967.99765741995,88777.45371150583,88641.56605842045,89059.94711638405,88629.84618083769,88827.73758456932
0.025,96287.8837152622,96346.82737862163,96448.59018101858,96597.5307274321,96399.87901066846,96258.88638315095,96701.13168826271,96247.74666661554,96454.09773345267
0.026000000000000002,104195.13266774564,104264.92788533044,104367.12160817705,104520.77824355729,104316.51141856638,104170.76029034235,104636.74482286828,104160.3494362634,104374.7737800307
0.027,112392.0081295032,112473.48123761915,112575.50786175256,112733.45789783326,112523.09783026013,112372.95523138873,112862.4986685126,112363.42487733673,112585.50712957564
0.028,120874.03246233315,120968.00879323251,121069.25408994545,121231.05437936925,121015.14985450584,120861.00173444251,121373.87056978194,120852.50595373698,121081.80377958715
0.029,129636.50105762009,129743.80269530501,129843.63836417334,130008.82707858949,129787.95155875217,129630.2011787337,130166.11082913229,129622.8959918062,129858.94207309888
0.03,138674.49004077163,138795.93364104757,138893.71940296987,139061.81778018788,138836.5671999721,138675.63355273326,139234.2504565867,138669.6764498497,138911.9804380748
0.031,147982.86398776065,148119.25866191403,148214.34430877902,148384.8583705267,148155.84896793254,147992.16522338297,148573.1089336692,147987.71469847116,148235.76513948015
0.032,157556.28367401636,157708.42893596584,157800.15633775684,157972.57857902744,157740.4447611811,157574.45673718143,158177.30201143541,157571.67183263184,157824.93806427217
0.033,167389.21387074582,167557.89764789678,167645.60271754806,167819.41376804688,167584.80601083918,167416.97066864348,168041.2495573422,167416.01053105763,167673.94455438384
0.034,177475.93119950642,177661.92790784,177744.94252374963,177919.61278156436,177683.19556303177,177513.97952731344,178159.18346147062,177515.00297425498,177777.0412985005
0.035,187810.53205232322,188014.6007364842,188092.25462225793,188267.24585954938,188029.69562723362,187859.573730908,188525.1556091077,187862.738828783,188128.30428989278
0.036000000000000004,198386.94058168866,198609.82312101588,198681.44568174452,198856.21262199132,198618.21579486126,198447.6696491538,199133.04592377777,198453.13330239733,198721.63685460098
0.037,209198.91676231078,209441.3361438797,209506.2582580393,209680.25012414952,209442.50112994452,209272.01772035894,209976.57048233872,209279.93527214948,209550.77775179478
0.038,220240.064524376,220502.72318421782,220560.2789501107,220732.9409825379,220496.14033162466,220326.21064061724,221049.28970170004,220336.73548537216,220609.30934601856
0.039,231503.83995632955,231787.41819003902,231836.94662556157,232007.72156941963,231772.57396643914,231603.6916237398,232344.61659494942,231616.97483166915,231890.66584927053
0.04,242983.55957366092,243288.7140176334,243329.56071206488,243497.89027212633,243265.10276684567,243097.76272846528,243855.8250931905,243113.95268247798,243388.14162933998
