EDP Range,SLF Case 1,SLF Case 2,SLF Case 3
4.05,385979.26102467213,854480.5359103724,1468506.180118748
4.1000000000000005,385980.2669035794,854482.8326069888,1468509.8992016015
4.15,385980.9233014563,854484.328763407,1468512.305379275
4.2,385981.34676014684,854485.2921551861,1468513.8436081083
4.25,385981.6167955708,854485.9052432346,1468514.8151318866
4.3,385981.78698771494,854486.2907908483,1468515.4212577427
4.3500000000000005,385981.8929888507,854486.5303482496,1468515.7947542786
4.4,385981.95822327293,854486.6773960716,1468516.022034736
4.45,385981.99788588943,854486.7665552251,1468516.1585956984
4.5,385982.02170727344,854486.81994676,1468516.2396016782
4.55,385982.0358383894,854486.8515199663,1468516.2870335828
4.6000000000000005,385982.0441169044,854486.8699550603,1468516.314444517
4.65,385982.0489058234,854486.880581625,1468516.330076482
4.7,385982.0516409292,854486.8866280919,1468516.3388723028
4.75,385982.05318300147,854486.8900236563,1468516.3437548743
4.800000000000001,385982.0540411681,854486.8919054152,1468516.3464282914
4.8500000000000005,385982.05451248947,854486.8929343737,1468516.3478719578
4.9,385982.0547679262,854486.893489451,1468516.348640708
4.95,385982.0549045142,854486.8937848241,1468516.349044314
5.0,385982.05497656635,854486.8939398449,1468516.3492532051
5.050000000000001,385982.0550140574,854486.8940200774,1468516.3493597687
5.1000000000000005,385982.055033297,854486.8940610216,1468516.3494133432
5.15,385982.05504303344,854486.8940816208,1468516.3494398836
5.2,385982.05504789157,854486.8940918369,1468516.349452837
5.25,385982.05505028134,854486.8940968303,1468516.349459065
5.300000000000001,385982.05505144014,854486.8940992355,1468516.349462014
5.3500000000000005,385982.0550519939,854486.8941003771,1468516.349463389
5.4,385982.0550522547,854486.8941009109,1468516.3494640205
5.45,385982.0550523757,854486.8941011566,1468516.349464306
5.5,385982.0550524311,854486.8941012683,1468516.349464433
5.550000000000001,385982.055052456,854486.8941013181,1468516.3494644887
5.6000000000000005,385982.0550524671,854486.89410134,1468516.3494645124
5.65,385982.0550524719,854486.8941013494,1468516.3494645227
5.7,385982.05505247397,854486.8941013536,1468516.3494645269
5.75,385982.05505247484,854486.8941013552,1468516.3494645287
5.800000000000001,385982.0550524752,854486.8941013559,1468516.3494645294
5.8500000000000005,385982.05505247536,854486.8941013562,1468516.3494645297
5.9,385982.0550524754,854486.8941013563,1468516.34946453
5.95,385982.0550524755,854486.8941013564,1468516.34946453
6.0,385982.0550524755,854486.8941013564,1468516.34946453
6.050000000000001,385982.0550524755,854486.8941013564,1468516.34946453
6.1000000000000005,385982.0550524755,854486.8941013564,1468516.34946453
6.15,385982.0550524755,854486.8941013564,1468516.34946453
6.2,385982.0550524755,854486.8941013564,1468516.34946453
6.25,385982.0550524755,854486.8941013564,1468516.34946453
6.300000000000001,385982.0550524755,854486.8941013564,1468516.34946453
6.3500000000000005,385982.0550524755,854486.8941013564,1468516.34946453
6.4,385982.0550524755,854486.8941013564,1468516.34946453
