EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9
0.078,225109.12435606364,224832.8187625372,225026.62629188166,449951.7363724541,449895.266399236,449771.5347539681,674818.3062684004,675519.2922610111,675155.4173234369
0.079,227512.01297920148,227235.92065412996,227428.00596432577,454766.45403686236,454698.4993613564,454577.98225127853,682020.8257254553,682728.4912518898,682373.0842349996
0.08,229856.50139866746,229580.88645463568,229771.13186373297,459464.28925305576,459385.3436477154,459268.03143807314,689048.8582996615,689762.2713825344,689415.3742126036
0.081,232142.73369783966,231867.85396397606,232056.14741771412,464045.5168404748,463956.08243630786,463841.96018101653,695902.8303416435,696621.0688189295,696282.7081980441
0.082,234370.92349655807,234097.03006034164,234283.26520613825,468510.5515239822,468411.1370483445,468300.1847588487,702583.3750822959,703305.5287771993,702975.7167481488
0.083,236541.35086624775,236268.68765109318,236452.7638944378,472859.9417628253,472751.06083119824,472643.2537474247,709091.3234674699,709816.4962399509,709495.2307661645
0.084,238654.35922902304,238383.16260773686,238564.98515146176,477094.3635447653,476976.5330103157,476871.8418727171,715427.6949468163,716155.0066242404,715842.2721822227
0.085,240710.35224907676,240440.85069313602,240620.33056007948,481214.6141621357,481088.35252644686,480986.74384817743,721593.68824124,722322.2764262072,722018.0446079995
0.08600000000000001,242709.79072434793,242442.20448881862,242619.2585284328,485221.6059859758,485087.4318739363,484988.8682122498,727590.6721125017,728319.6938664775,728023.923989765
0.08700000000000001,244653.18948613715,244387.7303299209,244562.28120941,489116.3602537367,488974.79095517326,488879.2311811818,733420.1761575424,734148.8095594596,733861.4492830298
0.088,246541.1143139999,246277.9852549765,246449.96143558153,492900.00088538276,492751.55096563743,492658.95053161954,739083.8816491086,739811.3272286406,739532.3131709924
0.089,248374.1788729027,248113.57397742203,248282.90967649562,496573.7483420215,496418.9283232907,496329.2395267882,744583.6124432364,745309.09448894,745038.3528479455
0.09,250153.04167927,249895.14588533965,250061.78102487588,500138.9135404772,499978.22865536483,499891.4008993581,749921.3259730979,750644.0937161088,750381.5408877257
0.091,251878.40310218884,251623.39207560464,251787.2722179103,503596.8918365071,503430.8408548834,503346.82090338646,755099.1043476535,755818.4330220675,755563.9762162071
0.092,253551.0024056698,253299.04242824367,253460.11869945208,506949.15708861256,506778.2312185324,506696.9634469991,760119.1455724607,760834.3373539678,760587.8752057313
0.093,255171.61483749203,254922.86272644816,255081.09172859008,510197.2558136617,510021.9376767599,509943.36431674595,764983.7549089096,765694.1397336455,765455.5629082418
0.094,256741.04876978748,256495.6518273204,256650.99553967617,513342.8014447873,513163.5641262586,513087.6255038312,769695.3363870448,770400.2726530011,770169.4644427767
0.095,258260.14289614605,258018.23888806542,258170.66455852793,516387.468701274,516204.77487424406,516131.4096416832,774256.3844860445,774955.2596397278,774732.0965518405
0.096,259729.76348965045,259491.48065197494,259640.96067915746,519332.988079401,519147.28920321073,519076.4345635939,778669.4759953269,779361.70700667,779146.0593400528
0.097,261150.80172587885,260916.25879818932,261062.77060501167,522181.1404724608,521992.87606412073,521924.46798843064,782937.2620681592,783622.295796991,783414.0282073546
0.098,262524.17107454775,262293.4773588606,262437.0032583448,524933.7519274347,524743.348905255,524677.3223416982,787062.4604785779,787739.7739362081,787538.7459879447
0.099,263850.8047631043,263624.0602069883,263764.5872609901,527592.688545081,527400.5606432492,527336.8497185162,791047.8480913504,791716.9486010704,791523.0153050236
0.1,265131.6533152201,264908.9486178473,265046.4684894419,530159.8515294655,529966.3987821313,529904.9369943754,794896.2535536684,795556.6788141761,795369.6911503454
0.101,266367.6821667909,266149.0989065857,266283.60770681605,532637.1723922697,532442.7806854919,532383.5010888448,798610.5502162311,799261.8682721669,799081.6736965202
0.10200000000000001,267559.8693617027,267345.480144236,267476.9782739193,535026.6083165101,534831.6490062466,534774.484386732,802193.6492903734,802835.4584143112,802661.9013489789
0.10300000000000001,268709.20332929335,268499.07195405365,268627.56394132884,537330.1376836417,537134.9672777943,537079.8503205364,805648.4932469153,806280.4217372815,806113.3440434989
0.10400000000000001,269816.6807451126,269610.8623897831,269736.35672406363,539549.7557673567,539354.7156697388,539301.579117403,808978.0494614518,809599.7553609487,809438.9967942144
0.105,270883.30447627296,270681.8458971398,270804.35486011946,541687.4705967584,541492.886910723,541441.6637131603,812185.3041098906,812796.4748490797,812641.8734960837
0.106,271910.08161237906,271713.0213595033,271832.5608538434,543745.2989909818,543551.4823803324,543502.1058354336,815273.2563171438,815873.6082879029,815725.0009848685
0.107,272898.02158273174,272705.3902285278,272821.9796048312,545725.2627667368,545532.5083714497,545484.9122572466,818244.9125610334,818834.190624633,818691.4133568021
0.108,273848.1343602259,273659.9547401031,273773.6166227612,547629.3851196936,547437.9725238954,547392.0912219746,821103.2813326449,821681.2582672022,821544.1465492703
0.109,274761.4287520917,274577.7162158385,274688.47632830933,549459.6871800787,549269.8804296604,549225.6490399861,823851.3680535749,824417.8439456383,824286.2331830278
0.11,275638.91077737586,275459.67344998784,275567.5604400449,551218.1847423479,551030.2324095403,550987.5868568058,826492.170249783,827046.9718347661,826920.6976656958
0.111,276481.5821308189,276306.82118150225,276411.86644696206,552906.8851683012,552721.0204605045,552679.8975921575,829028.6729810314,829571.6529371795,829450.5515555585
0.112,277290.4387325547,277120.1486506682,277222.3861660834,554527.7844625519,554344.2253726842,554304.5630487909,831463.8445242452,831994.8807247451,831878.789183983
0.113,278066.4693628461,277900.63823957974,278000.104384356,556082.8645188224,555901.8140144437,555863.5511895793,833800.6323084766,834319.6270362486,834208.3835341384
