EDP Range,SLF Case 1,SLF Case 2,SLF Case 3
0.049,210210.33000214308,460719.1759798831,801941.2601047613
0.05,211635.73821969755,463839.48705266876,807466.0575379293
0.051000000000000004,212941.85632099028,466696.50089293136,812522.7025335241
0.052000000000000005,214136.2149561012,469306.9646036654,817140.9005509401
0.053,215226.15874369108,471687.2099957986,821349.6629625027
0.054,216218.81309281656,473853.0785231007,825177.1653582068
0.055,217121.0567234221,475819.85914464144,828650.62950482
0.056,217939.49952410007,477602.2383005104,831796.2275544456
0.057,218680.46536278015,479214.26113142795,834639.0069790769
0.058,219349.97945104755,480669.3030364197,837202.8346247517
0.059000000000000004,219953.75985507568,481980.0506432404,839510.3582287461
0.06,220497.21274494214,483158.4912619836,841582.9837226917
0.061,220985.43097860258,484215.9099015019,843440.8666503115
0.062,221423.19562625544,485162.8929490958,845102.9160572942
0.063,221814.9800544758,486009.33764462266,846586.8092593647
0.064,222164.95620660097,486764.4665190172,847909.0159595961
0.065,222477.0027357087,487436.8460125617,849084.8302643313
0.066,222754.71466848973,488034.4085385546,850128.4092357791
0.067,223001.414301773,488564.4773118809,851052.8167156837
0.068,223220.16305786566,489033.7933180975,851870.0712558964
0.069,223413.77404972576,489448.54385583947,852591.1970959541
0.07,223584.82513186173,489814.3921426202,853226.2772328531
0.07100000000000001,223735.6722373722,490136.507530546,853784.5077323578
0.07200000000000001,223868.4628253833,490419.59593334823,854274.2525328933
0.073,223985.14928604793,490667.93011884054,854703.0980910981
0.074,224087.50217202917,490885.3795709275,855077.9073114367
0.075,224177.12314583542,491075.4396722594,855404.8722901241
0.076,224255.45755139424,491241.2600022584,855689.5654853965
0.077,224323.80653576105,491385.6715853648,855936.9890014973
0.078,224383.33866282398,491511.2129608639,856151.6217424024
0.079,224435.1009752711,491620.15497854806,856337.4642532186
0.08,224480.02947394951,491714.5242537678,856498.0811223815
0.081,224518.95899511068,491796.1252412473,856636.6408664417
0.082,224552.63247595134,491866.5609095085,856755.9532615757
0.083,224581.70960740972,491927.2520170365,856858.5041223236
0.084,224606.77488043316,491979.4550076451,856946.487558796
0.085,224628.34503799767,492024.27855605114,857021.8357691213
0.08600000000000001,224646.87595012342,492062.6988057023,857086.2464446427
0.08700000000000001,224662.76893309286,492095.57334963407,857141.2078817624
0.088,224676.37653714244,492123.65401180385,857188.021906838
0.089,224688.00782915953,492147.5984911958,857227.8247295519
0.09,224697.9331984711,492167.9809342267,857261.6058461858
0.091,224706.38871475044,492185.30150282616,857290.2251175948
0.092,224713.58006748022,492199.99500622135,857314.428147794
0.093,224719.68611637191,492212.43866410054,857334.8600883137
0.094,224724.86208173167,492222.95906765194,857352.0779911459
0.095,224729.2424030476,492231.8384031118,857366.5618295231
0.096,224732.94329311184,492239.3200000676,857378.724301191
0.097,224736.06501384216,492245.61326396064,857388.9195235074
0.098,224738.69389867867,492250.898049139,857397.4507238272
0.099,224740.90414504212,492255.3285255111,857404.5770224066
0.1,224742.7593988927,492259.0365884418,857410.5193986162
0.101,224744.31415194794,492262.1348580672,857415.4659247589
0.10200000000000001,224745.6149706366,492264.7193107566,857419.5763453156
0.10300000000000001,224746.70157440053,492266.8715820611,857422.986073103
0.10400000000000001,224747.60777952694,492268.6609771921,857425.8096676953
0.105,224748.36232331512,492270.14622191223,857428.1438555685
0.106,224748.9895820617,492271.3769837044,857430.0701458392
0.107,224749.5101950975,492272.3951902362,857431.6570902059
0.108,224749.94160593074,492273.2361694668,857432.9622307621
0.109,224750.29853045,492273.92963325157,857434.0337747826
0.11,224750.59336111607,492274.50052399695,857434.9120313544
0.111,224750.83651512608,492274.96974179125,857435.6306408349
0.112,224751.03673366303,492275.3547674959,857436.2176245864
0.113,224751.20133854938,492275.6701955059,857436.6962792055
0.114,224751.3364518982,492275.9281882819,857437.0859365606
0.115,224751.4471837003,492276.13886330323,857437.402608324
0.116,224751.53779169283,492276.310621784,857437.6595313372
0.117,224751.611817323,492276.4504273248,857437.8676280513
0.11800000000000001,224751.67220114445,492276.56404162967,857438.0358944158
0.11900000000000001,224751.7213805577,492276.65622348624,857438.171725941
0.12,224751.7613724292,492276.7308963891,857438.2811911987
0.121,224751.793842789,492276.79128945724,857438.3692607441
0.122,224751.8201655106,492276.8400556592,857438.4399983203
0.123,224751.84147161787,492276.8793708004,857438.4967202235
0.124,224751.8586906346,492276.91101623647,857438.5421278519
0.125,224751.87258519413,492276.93644785014,857438.5784177245
0.126,224751.88377995114,492276.95685345976,857438.6073726093
0.127,224751.89278568796,492276.97320050513,857438.6304368508
0.128,224751.90001937552,492276.9862755805,857438.6487785084
0.129,224751.90582083628,492276.9967171445,857438.6633405141
0.13,224751.91046655903,492277.0050425328,857438.6748827014
0.131,224751.91418113036,492277.01167022286,857438.6840162692
0.132,224751.91714667703,492277.01693815005,857438.6912319828
0.133,224751.91951065056,492277.02111874736,857438.6969232068
0.134,224751.9213922336,492277.02443127125,857438.7014046788
0.135,224751.922887602,492277.02705188445,857438.7049277818
0.136,224751.9240742397,492277.02912188804,857438.7076929447
0.137,224751.92501447018,492277.03075443115,857438.7098596893
0.138,224751.92575834147,492277.0320399682,857438.7115547588
0.139,224751.92634597915,492277.03305069084,857438.7128786765
0.14,224751.92680950175,492277.0338441195,857438.7139110315
